Metric,Score
Log Loss,0.14095555198957568
Brier Score Loss,0.037147807895201106
Matthews Correlation Coefficient,0.9120074636636067
Cohen's Kappa Score,0.9102450689897692
ROC AUC Score,0.9895962388534545
Accuracy,0.9550794747753973
F1 Score,0.9552033080634046
