Metric,Score
Log Loss,0.2500766967810237
Brier Score Loss,0.06470888092851929
Matthews Correlation Coefficient,0.8460057873600396
Cohen's Kappa Score,0.8427005935035015
ROC AUC Score,0.9704587864604841
Accuracy,0.9212163096060816
F1 Score,0.9224489795918367
