Metric,Score
Log Loss,0.1825636021155376
Brier Score Loss,0.04962297085981098
Matthews Correlation Coefficient,0.8875808859534192
Cohen's Kappa Score,0.8867130810711722
ROC AUC Score,0.9887377827742853
Accuracy,0.9433310297166552
F1 Score,0.9429763560500696
